Date,Withdrawal,Deposit,Balance,Week,Month,Year,Category
2021-09-02,0.0,548.8,2265.52,35,9,2021,Investment Income
2021-09-03,0.0,74.75,2340.27,35,9,2021,Salary
2021-09-03,0.0,3000.0,5340.27,35,9,2021,Bonus
2021-09-07,40.68,0.0,5299.59,36,9,2021,Personal Care
2021-09-07,19.95,0.0,5279.64,36,9,2021,Groceries
2021-09-07,9.37,0.0,5270.27,36,9,2021,Dining Out
2021-09-07,16.6,0.0,5253.67,36,9,2021,Dining Out
2021-09-07,9.04,0.0,5244.63,36,9,2021,Shopping
2021-09-07,70.96,0.0,5173.67,36,9,2021,Entertainment
2021-09-07,25.38,0.0,5148.29,36,9,2021,Groceries
2021-09-07,0.0,3000.0,8148.29,36,9,2021,Investment Income
2021-09-10,0.0,316.0,8464.29,36,9,2021,Investment Income
2021-09-10,0.0,2200.0,10664.29,36,9,2021,Capital Gains
2021-09-10,8000.0,0.0,2664.29,36,9,2021,Healthcare
2021-09-10,52.59,0.0,2611.7,36,9,2021,Housing
2021-09-10,10.0,0.0,2601.7,36,9,2021,Dining Out
2021-09-13,50.25,0.0,2551.45,37,9,2021,Shopping
2021-09-13,0.0,10.0,2561.45,37,9,2021,Salary
2021-09-17,37.29,0.0,2524.16,37,9,2021,Shopping
2021-09-17,46.93,0.0,2477.23,37,9,2021,Dining Out
2021-09-17,44.07,0.0,2433.16,37,9,2021,Groceries
2021-09-20,22.57,0.0,2410.59,38,9,2021,Transportation
2021-09-20,15.81,0.0,2394.78,38,9,2021,Loan Payment
2021-09-20,12.54,0.0,2382.24,38,9,2021,Bills
2021-09-20,1.69,0.0,2380.55,38,9,2021,Transportation
2021-09-20,15.95,0.0,2364.6,38,9,2021,Housing
2021-09-20,63.79,0.0,2300.81,38,9,2021,Housing
2021-09-20,65.33,0.0,2235.48,38,9,2021,Shopping
2021-09-20,42.93,0.0,2192.55,38,9,2021,Groceries
2021-09-24,12.77,0.0,2179.78,38,9,2021,Groceries
2021-09-24,4.62,0.0,2175.16,38,9,2021,Bills
2021-09-27,11.49,0.0,2163.67,39,9,2021,Groceries
2021-09-27,33.77,0.0,2129.9,39,9,2021,Transportation
2021-09-27,44.96,0.0,2084.94,39,9,2021,Loan Payment
2021-09-27,0.0,33.77,2118.71,39,9,2021,Bonus
2021-09-28,41.86,0.0,2076.85,39,9,2021,Bills
2021-09-29,0.0,0.03,2076.88,39,9,2021,Capital Gains
2021-09-29,3.75,0.0,2073.13,39,9,2021,Groceries
2021-10-01,11.29,0.0,2061.84,39,10,2021,Bills
2021-10-01,16.36,0.0,2045.48,39,10,2021,Transportation
