Date,Withdrawal,Deposit,Balance,Week,Month,Year,Category
2022-02-07,0.0,20.65,78.36,6,2,2022,Bonus
2022-02-07,16.93,0.0,61.43,6,2,2022,Dining Out
2022-02-14,5.07,0.0,56.36,7,2,2022,Transportation
2022-02-16,0.0,458.56,514.92,7,2,2022,Return on Investement
2022-02-16,4.24,0.0,510.68,7,2,2022,Dining Out
2022-02-16,12.0,0.0,498.68,7,2,2022,Groceries
2022-02-16,32.94,0.0,465.74,7,2,2022,Transportation
2022-02-17,25.24,0.0,440.5,7,2,2022,Housing
2022-02-17,22.99,0.0,417.51,7,2,2022,Dining Out
2022-02-17,17.84,0.0,399.67,7,2,2022,Housing
2022-02-18,32.94,0.0,366.73,7,2,2022,Loan Payment
2022-02-18,10.69,0.0,356.04,7,2,2022,Bills
2022-02-22,21.29,0.0,334.75,8,2,2022,Shopping
2022-02-28,32.94,0.0,301.81,9,2,2022,Loan Payment
2022-02-28,23.34,0.0,278.47,9,2,2022,Entertainment
2022-02-28,100.0,0.0,178.47,9,2,2022,Loan Payment
2022-02-28,24.21,0.0,154.26,9,2,2022,Entertainment
2022-03-01,35.5,0.0,118.76,9,3,2022,Housing
2022-03-02,0.0,571.29,690.05,9,3,2022,Personal Sale
2022-03-02,29.45,0.0,660.6,9,3,2022,Entertainment
2022-03-02,8.6,0.0,652.0,9,3,2022,Loan Payment
2022-03-03,0.0,300.0,952.0,9,3,2022,Return on Investement
2022-03-03,300.0,0.0,652.0,9,3,2022,Groceries
2022-03-03,18.07,0.0,633.93,9,3,2022,Shopping
2022-03-03,104.05,0.0,529.88,9,3,2022,Groceries
2022-03-03,14.89,0.0,514.99,9,3,2022,Housing
2022-03-03,22.55,0.0,492.44,9,3,2022,Housing
2022-03-04,29.45,0.0,462.99,9,3,2022,Bills
2022-03-04,53.21,0.0,409.78,9,3,2022,Housing
2022-03-07,29.45,0.0,380.33,10,3,2022,Dining Out
2022-03-07,19.05,0.0,361.28,10,3,2022,Dining Out
2022-03-07,29.45,0.0,331.83,10,3,2022,Entertainment
2022-03-07,22.57,0.0,309.26,10,3,2022,Groceries
2022-03-07,22.55,0.0,286.71,10,3,2022,Dining Out
2022-03-07,28.2,0.0,258.51,10,3,2022,Transportation
2022-03-08,9.5,0.0,249.01,10,3,2022,Dining Out
2022-03-08,22.55,0.0,226.46,10,3,2022,Loan Payment
2022-03-09,123.0,0.0,103.46,10,3,2022,Housing
2022-03-09,22.55,0.0,80.91,10,3,2022,Groceries
2022-03-10,29.45,0.0,51.46,10,3,2022,Bills
2022-03-10,33.55,0.0,17.91,10,3,2022,Bills
2022-03-10,0.0,70.0,87.91,10,3,2022,Interest
2022-03-11,29.45,0.0,58.46,10,3,2022,Dining Out
2022-03-14,29.45,0.0,29.01,11,3,2022,Loan Payment
2022-03-14,18.05,0.0,10.96,11,3,2022,Entertainment
2022-03-16,0.0,571.29,582.25,11,3,2022,Interest
2022-03-16,29.45,0.0,552.8,11,3,2022,Groceries
2022-03-16,17.05,0.0,535.75,11,3,2022,Housing
2022-03-17,12.4,0.0,523.35,11,3,2022,Housing
2022-03-17,19.58,0.0,503.77,11,3,2022,Dining Out
2022-03-17,17.05,0.0,486.72,11,3,2022,Loan Payment
2022-03-18,32.5,0.0,454.22,11,3,2022,Loan Payment
2022-03-21,18.39,0.0,435.83,12,3,2022,Groceries
2022-03-21,24.45,0.0,411.38,12,3,2022,Entertainment
2022-03-21,375.98,0.0,35.4,12,3,2022,Loan Payment
2022-03-21,0.0,50.0,85.4,12,3,2022,Personal Sale
2022-03-21,31.79,0.0,53.61,12,3,2022,Dining Out
2022-03-21,29.45,0.0,24.16,12,3,2022,Bills
2022-03-21,22.36,0.0,1.8,12,3,2022,Entertainment
2022-03-22,0.0,150.0,151.8,12,3,2022,Return on Investement
2022-03-22,29.45,0.0,122.35,12,3,2022,Groceries
2022-03-23,22.55,0.0,99.8,12,3,2022,Dining Out
2022-03-24,22.55,0.0,77.25,12,3,2022,Dining Out
2022-03-25,0.0,500.0,577.25,12,3,2022,Salary
2022-03-25,29.45,0.0,547.8,12,3,2022,Dining Out
2022-03-28,2.0,0.0,545.8,13,3,2022,Entertainment
2022-03-28,34.42,0.0,511.38,13,3,2022,Loan Payment
2022-03-28,21.46,0.0,489.92,13,3,2022,Transportation
2022-03-28,46.67,0.0,443.25,13,3,2022,Dining Out
2022-03-28,11.46,0.0,431.79,13,3,2022,Dining Out
2022-03-28,42.99,0.0,388.8,13,3,2022,Housing
2022-03-28,27.35,0.0,361.45,13,3,2022,Transportation
2022-03-28,15.77,0.0,345.68,13,3,2022,Groceries
2022-03-28,0.0,50.0,395.68,13,3,2022,Personal Sale
2022-03-28,30.2,0.0,365.48,13,3,2022,Shopping
2022-03-28,25.99,0.0,339.49,13,3,2022,Transportation
2022-03-28,35.9,0.0,303.59,13,3,2022,Transportation
2022-03-29,13.2,0.0,290.39,13,3,2022,Groceries
2022-03-29,49.94,0.0,240.45,13,3,2022,Loan Payment
2022-03-29,36.72,0.0,203.73,13,3,2022,Bills
2022-03-29,0.0,27.35,231.08,13,3,2022,Interest
2022-03-29,25.98,0.0,205.1,13,3,2022,Housing
2022-03-29,78.11,0.0,126.99,13,3,2022,Housing
2022-03-30,22.55,0.0,104.44,13,3,2022,Shopping
2022-03-30,0.0,571.29,675.73,13,3,2022,Bonus
2022-03-30,40.68,0.0,635.05,13,3,2022,Shopping
2022-03-30,17.0,0.0,618.05,13,3,2022,Housing
2022-03-30,40.25,0.0,577.8,13,3,2022,Transportation
2022-03-30,42.68,0.0,535.12,13,3,2022,Housing
2022-03-30,120.7,0.0,414.42,13,3,2022,Dining Out
2022-03-31,16.94,0.0,397.48,13,3,2022,Entertainment
2022-03-31,27.07,0.0,370.41,13,3,2022,Shopping
2022-03-31,48.75,0.0,321.66,13,3,2022,Housing
2022-03-31,4.0,0.0,317.66,13,3,2022,Entertainment
2022-04-01,32.53,0.0,285.13,13,4,2022,Shopping
2022-04-01,22.55,0.0,262.58,13,4,2022,Entertainment
2022-04-04,64.0,0.0,198.58,14,4,2022,Shopping
2022-04-04,48.2,0.0,150.38,14,4,2022,Transportation
2022-04-05,0.0,74.75,225.13,14,4,2022,Salary
2022-04-05,26.1,0.0,199.03,14,4,2022,Dining Out
2022-04-06,33.88,0.0,165.15,14,4,2022,Transportation
2022-04-06,22.55,0.0,142.6,14,4,2022,Housing
2022-04-06,10.58,0.0,132.02,14,4,2022,Transportation
2022-04-06,8.5,0.0,123.52,14,4,2022,Entertainment
2022-04-07,26.1,0.0,97.42,14,4,2022,Bills
2022-04-07,42.6,0.0,54.82,14,4,2022,Shopping
2022-04-11,22.55,0.0,32.27,15,4,2022,Loan Payment
2022-04-11,23.75,0.0,8.52,15,4,2022,Entertainment
2022-04-13,0.0,571.29,579.81,15,4,2022,Bonus
2022-04-13,22.55,0.0,557.26,15,4,2022,Transportation
2022-04-13,32.53,0.0,524.73,15,4,2022,Housing
2022-04-14,500.0,0.0,24.73,15,4,2022,Transportation
