Date,Description,Withdrawal,Deposit,Balance,Week,Month,Year,Category
2022-02-07,BEST BUY #634     _F,0.0,20.65,78.36,6,2,2022,Interest
2022-02-07,THE E JUICE GAL   _F,16.93,0.0,61.43,6,2,2022,Bills
2022-02-14,PIZZA PIZZA # 6   _F,5.07,0.0,56.36,7,2,2022,Food
2022-02-16,CANADA           PAY,0.0,458.56,514.92,7,2,2022,Bonus
2022-02-16,WATERSHED 144     _F,4.24,0.0,510.68,7,2,2022,Groceries
2022-02-16,SEND E-TFR ***4sU   ,12.0,0.0,498.68,7,2,2022,Entertainment
2022-02-16,SKIPTHEDISHES     _V,32.94,0.0,465.74,7,2,2022,Entertainment
2022-02-17,PIZZA PIZZA LTD   _V,25.24,0.0,440.5,7,2,2022,Food
2022-02-17,SKIPTHEDISHES     _V,22.99,0.0,417.51,7,2,2022,Transportation
2022-02-17,SKIPTHEDISHES     _V,17.84,0.0,399.67,7,2,2022,Entertainment
2022-02-18,SKIPTHEDISHES     _V,32.94,0.0,366.73,7,2,2022,Shopping
2022-02-18,SKIPTHEDISHES     _V,10.69,0.0,356.04,7,2,2022,Bills
2022-02-22,SKIPTHEDISHES     _V,21.29,0.0,334.75,8,2,2022,Entertainment
2022-02-28,SKIPTHEDISHES     _V,32.94,0.0,301.81,9,2,2022,Other
2022-02-28,SKIPTHEDISHES     _V,23.34,0.0,278.47,9,2,2022,Food
2022-02-28,SEND E-TFR ***Rys   ,100.0,0.0,178.47,9,2,2022,Bills
2022-02-28,PIZZA PIZZA # 6     ,24.21,0.0,154.26,9,2,2022,Transportation
2022-03-01,SKIPTHEDISHES     _V,35.5,0.0,118.76,9,3,2022,Groceries
2022-03-02,CANADA           PAY,0.0,571.29,690.05,9,3,2022,Salary
2022-03-02,SKIPTHEDISHES     _V,29.45,0.0,660.6,9,3,2022,Entertainment
2022-03-02,SKIPTHEDISHES     _V,8.6,0.0,652.0,9,3,2022,Bills
2022-03-03,E-TRANSFER ***Stb   ,0.0,300.0,952.0,9,3,2022,Other
2022-03-03,LRNTN UNIV   U6X6L8 ,300.0,0.0,652.0,9,3,2022,Travel
2022-03-03,JUICE ON THE LO   _F,18.07,0.0,633.93,9,3,2022,Transportation
2022-03-03,CANNA CABANA        ,104.05,0.0,529.88,9,3,2022,Bills
2022-03-03,MCDONALD'S #311   _F,14.89,0.0,514.99,9,3,2022,Entertainment
2022-03-03,SKIPTHEDISHES     _V,22.55,0.0,492.44,9,3,2022,Groceries
2022-03-04,SKIPTHEDISHES     _V,29.45,0.0,462.99,9,3,2022,Other
